C01 TITLE: CO event sampling data 
C02 FILE NAME: mid528n00.noaa.as.fl.co.nl.ev.dat 
C03 DATA FORMAT: Version 1.0
C04 TOTAL LINES: 2587
C05 HEADER LINES: 39
C06 DATA VERSION: 201708
C07 STATION NAME: Sand Island 
C08 STATION CATEGORY: Regional
C09 OBSERVATION CATEGORY: Air sampling observation at a stationary platform
C10 COUNTRY/TERRITORY: United States of America
C11 CONTRIBUTOR: NOAA/ESRL
C12 LATITUDE: 28.2
C13 LONGITUDE: -177.37
C14 ALTITUDE: 7.7
C15 NUMBER OF SAMPLING HEIGHTS: 1
C16 SAMPLING HEIGHTS: 
C17 CONTACT POINT: paul.c.novelli@noaa.gov
C18 PARAMETER: CO
C19 COVERING PERIOD: 1990-11-27 2016-12-31
C20 TIME INTERVAL: event
C21 MEASUREMENT UNIT: ppb
C22 MEASUREMENT METHOD: GC-HgO
C23 SAMPLING TYPE: flask
C24 TIME ZONE: UTC
C25 MEASUREMENT SCALE: WMO CO scale
C26 DATA POLICY: This is a formal notification for data users. "For scientific purposes, access to these data is unlimited
C27 and provided without charge. By their use you accept that an offer of co-authorship will be made through personal contact
C28 with the data providers or owners whenever substantial use is made of their data. In all cases, an acknowledgement
C29 must be made to the data providers or owners and the data centre when these data are used within a publication."
C30 COMMENT:
C31 # comment:  ************ COLLABORATORS ***************
C32 # comment: 
C33 # comment: NOAA thanks the following collaborators without
C34 # comment: whom these measurements would not be possible.
C35 # comment: 
C36 # collaborator_name: U.S. Fish and Wildlife Service [USFWS]
C37 # collaborator_url: http://midway.fws.gov
C38 # comment: 
C39   DATE  TIME       DATE  TIME         CO    ND      SD     F CS       REM
1990-11-27 01:30 9999-99-99 99:99 -99999.999 -9999 -99999.   *..  0   1085-81
1991-05-14 23:00 9999-99-99 99:99 -99999.999 -9999 -99999.   *..  0    304-81
1991-05-14 23:00 9999-99-99 99:99    213.320 -9999 -99999.   W..  0    304-81
1991-05-21 23:00 9999-99-99 99:99    203.920 -9999 -99999.   W..  0   1070-81
1991-05-21 23:00 9999-99-99 99:99    204.270 -9999 -99999.   W..  0   1070-81
1991-05-28 01:00 9999-99-99 99:99    131.420 -9999 -99999.   W..  0    181-81
1991-05-28 01:00 9999-99-99 99:99    131.790 -9999 -99999.   W..  0    181-81
1991-05-28 01:00 9999-99-99 99:99    153.870 -9999 -99999.   W..  0    182-81
1991-06-04 09:00 9999-99-99 99:99    487.590 -9999 -99999.   W.C  0    705-81
1991-06-04 09:00 9999-99-99 99:99    485.960 -9999 -99999.   W.C  0    705-81
1991-06-04 09:00 9999-99-99 99:99    375.520 -9999 -99999.   W.C  0    706-81
1991-06-04 09:00 9999-99-99 99:99    376.200 -9999 -99999.   W.C  0    706-81
1991-06-12 20:00 9999-99-99 99:99    140.990 -9999 -99999.   W..  0    674-81
1991-06-12 20:00 9999-99-99 99:99    141.010 -9999 -99999.   W..  0    674-81
1991-06-18 01:00 9999-99-99 99:99    334.760 -9999 -99999.   W.C  0    262-81
1991-06-18 01:00 9999-99-99 99:99    335.790 -9999 -99999.   W.C  0    262-81
1991-06-25 02:00 9999-99-99 99:99    162.080 -9999 -99999.   W..  0   1250-81
1991-06-25 02:00 9999-99-99 99:99    163.020 -9999 -99999.   W..  0   1250-81
1991-07-02 00:00 9999-99-99 99:99    340.120 -9999 -99999.   W.C  0    314-81
1991-07-02 00:00 9999-99-99 99:99 -99999.999 -9999 -99999.   *..  0    314-81
1991-07-09 01:00 9999-99-99 99:99    191.270 -9999 -99999.   W..  0   1155-81
1991-07-09 01:00 9999-99-99 99:99 -99999.999 -9999 -99999.   *..  0   1155-81
1991-07-16 00:00 9999-99-99 99:99    153.890 -9999 -99999.   W..  0   1162-81
1991-07-16 00:00 9999-99-99 99:99    159.360 -9999 -99999.   W..  0   1162-81
1991-07-23 00:00 9999-99-99 99:99    137.670 -9999 -99999.   W..  0    572-81
1991-07-23 00:00 9999-99-99 99:99    138.060 -9999 -99999.   W..  0    572-81
1991-07-30 19:00 9999-99-99 99:99    133.010 -9999 -99999.   W..  0   1466-81
1991-07-30 19:00 9999-99-99 99:99    131.840 -9999 -99999.   W..  0   1466-81
1991-08-06 01:00 9999-99-99 99:99    280.480 -9999 -99999.   W.C  0    856-81
1991-08-06 01:00 9999-99-99 99:99    280.070 -9999 -99999.   W.C  0    856-81
1991-08-13 01:00 9999-99-99 99:99    115.760 -9999 -99999.   W..  0   1166-81
1991-08-13 01:00 9999-99-99 99:99    116.300 -9999 -99999.   W..  0   1166-81
1991-08-20 19:00 9999-99-99 99:99    444.350 -9999 -99999.   W.C  0    496-81
1991-08-20 19:00 9999-99-99 99:99    445.810 -9999 -99999.   W.C  0    496-81
1991-08-27 19:00 9999-99-99 99:99    453.190 -9999 -99999.   W.C  0    131-81
1991-08-27 19:00 9999-99-99 99:99    450.880 -9999 -99999.   W.C  0    131-81
1991-08-27 19:00 9999-99-99 99:99    259.110 -9999 -99999.   W.C  0    132-81
1991-08-27 19:00 9999-99-99 99:99    258.020 -9999 -99999.   W.C  0    132-81
1991-09-04 00:00 9999-99-99 99:99    104.370 -9999 -99999.   W..  0   1444-81
1991-09-04 00:00 9999-99-99 99:99    104.630 -9999 -99999.   W..  0   1444-81
1991-09-10 19:00 9999-99-99 99:99     97.060 -9999 -99999.   W..  0   1266-81
1991-09-10 19:00 9999-99-99 99:99     97.740 -9999 -99999.   W..  0   1266-81
1991-09-17 19:00 9999-99-99 99:99    159.170 -9999 -99999.   W..  0    676-81
1991-09-17 19:00 9999-99-99 99:99    158.060 -9999 -99999.   W..  0    676-81
1991-09-24 20:00 9999-99-99 99:99    120.250 -9999 -99999.   W..  0    457-81
1991-09-24 20:00 9999-99-99 99:99    467.030 -9999 -99999.   W.C  0    458-81
1991-10-01 20:00 9999-99-99 99:99    109.930 -9999 -99999.   W..  0   1231-81
1991-10-01 20:00 9999-99-99 99:99    110.620 -9999 -99999.   W..  0   1232-81
1991-10-08 05:00 9999-99-99 99:99    166.670 -9999 -99999.   W..  0    507-81
1991-10-08 05:00 9999-99-99 99:99    235.200 -9999 -99999.   W.C  0    508-81
1991-10-15 05:00 9999-99-99 99:99    132.550 -9999 -99999.   W..  0    463-81
1991-10-15 05:00 9999-99-99 99:99    151.060 -9999 -99999.   W..  0    464-81
1991-10-22 04:45 9999-99-99 99:99    193.540 -9999 -99999.   W..  0    239-81
1991-10-29 04:40 9999-99-99 99:99    184.000 -9999 -99999.   W..  0    241-81
1991-10-29 04:40 9999-99-99 99:99    170.940 -9999 -99999.   W..  0    242-81
1991-11-05 04:45 9999-99-99 99:99    233.470 -9999 -99999.   W.C  0    295-81
1991-11-05 04:45 9999-99-99 99:99 -99999.999 -9999 -99999.   *..  0    296-81
1991-11-12 04:45 9999-99-99 99:99 -99999.999 -9999 -99999.   *..  0   1403-81
1991-11-12 04:45 9999-99-99 99:99    128.070 -9999 -99999.   W.>  0   1404-81
1991-11-19 04:15 9999-99-99 99:99    222.680 -9999 -99999.   W..  0   1057-81
1991-11-19 04:15 9999-99-99 99:99    515.320 -9999 -99999.   W.C  0   1058-81
1991-11-26 04:10 9999-99-99 99:99    134.390 -9999 -99999.   W..  0   1175-81
1991-11-26 04:10 9999-99-99 99:99    131.030 -9999 -99999.   W..  0   1176-81
1991-12-03 05:15 9999-99-99 99:99    144.370 -9999 -99999.   W..  0    569-81
1991-12-03 05:15 9999-99-99 99:99    138.080 -9999 -99999.   W..  0    570-81
1991-12-10 04:05 9999-99-99 99:99    174.850 -9999 -99999.   W..  0    173-81
1991-12-10 04:05 9999-99-99 99:99    157.740 -9999 -99999.   W..  0    174-81
1991-12-17 03:50 9999-99-99 99:99    189.230 -9999 -99999.   W..  0     10-81
1991-12-17 03:50 9999-99-99 99:99    207.800 -9999 -99999.   W..  0      9-81
1991-12-24 02:50 9999-99-99 99:99    189.230 -9999 -99999.   W..  0   1235-81
1991-12-24 02:50 9999-99-99 99:99    193.190 -9999 -99999.   W..  0   1236-81
1991-12-31 22:15 9999-99-99 99:99    231.060 -9999 -99999.   W.C  0    641-81
1991-12-31 22:15 9999-99-99 99:99    247.760 -9999 -99999.   W.C  0    642-81
1992-01-07 03:50 9999-99-99 99:99    169.630 -9999 -99999.   W..  0    461-81
1992-01-07 03:50 9999-99-99 99:99    157.920 -9999 -99999.   W..  0    462-81
1992-01-14 04:00 9999-99-99 99:99    168.410 -9999 -99999.   W..  0   1111-81
1992-01-14 04:00 9999-99-99 99:99    158.420 -9999 -99999.   W..  0   1112-81
1992-01-21 03:45 9999-99-99 99:99    169.860 -9999 -99999.   W..  0   1169-81
1992-01-21 03:45 9999-99-99 99:99    181.390 -9999 -99999.   W..  0   1170-81
1992-01-28 05:15 9999-99-99 99:99    163.790 -9999 -99999.   ...  0   6505-66
1992-01-28 05:15 9999-99-99 99:99    166.550 -9999 -99999.   ...  0   6506-66
1992-02-04 04:00 9999-99-99 99:99    163.000 -9999 -99999.   ...  0   6503-66
1992-02-04 04:00 9999-99-99 99:99    163.550 -9999 -99999.   ...  0   6504-66
1992-02-11 04:00 9999-99-99 99:99    160.140 -9999 -99999.   ...  0   6189-66
1992-02-11 04:00 9999-99-99 99:99    161.830 -9999 -99999.   ...  0   6190-66
1992-02-18 04:00 9999-99-99 99:99    189.210 -9999 -99999.   ...  0   6499-66
1992-02-18 04:00 9999-99-99 99:99    186.630 -9999 -99999.   ...  0   6500-66
1992-02-25 04:00 9999-99-99 99:99    175.180 -9999 -99999.   ...  0   6033-66
1992-02-25 04:00 9999-99-99 99:99    174.450 -9999 -99999.   ...  0   6034-66
1992-03-03 04:10 9999-99-99 99:99    186.120 -9999 -99999.   ...  0   6507-66
1992-03-03 04:10 9999-99-99 99:99    183.490 -9999 -99999.   ...  0   6508-66
1992-03-10 03:45 9999-99-99 99:99    175.030 -9999 -99999.   ...  0   6395-66
1992-03-10 03:45 9999-99-99 99:99    174.920 -9999 -99999.   ...  0   6396-66
1992-03-17 04:00 9999-99-99 99:99    177.430 -9999 -99999.   ...  0   6502-66
1992-03-31 04:00 9999-99-99 99:99    167.020 -9999 -99999.   P..  0   6025-66
1992-03-31 04:00 9999-99-99 99:99    163.360 -9999 -99999.   P..  0   6026-66
1992-04-07 04:00 9999-99-99 99:99    145.760 -9999 -99999.   ...  0   6381-66
1992-04-07 04:00 9999-99-99 99:99    144.540 -9999 -99999.   ...  0   6382-66
1992-04-14 04:10 9999-99-99 99:99    139.700 -9999 -99999.   ...  0   6695-66
1992-04-14 04:10 9999-99-99 99:99    140.580 -9999 -99999.   ...  0   6696-66
1992-04-21 04:15 9999-99-99 99:99    166.200 -9999 -99999.   ...  0   6675-66
1992-04-21 04:15 9999-99-99 99:99    164.330 -9999 -99999.   ...  0   6676-66
1992-04-28 04:15 9999-99-99 99:99    179.650 -9999 -99999.   ...  0   6681-66
1992-04-28 04:15 9999-99-99 99:99    180.030 -9999 -99999.   ...  0   6682-66
1992-05-05 04:15 9999-99-99 99:99    156.290 -9999 -99999.   P..  0   6683-66
1992-05-05 04:15 9999-99-99 99:99    161.890 -9999 -99999.   P..  0   6684-66
1992-05-12 04:00 9999-99-99 99:99    132.530 -9999 -99999.   ...  0   6209-66
1992-05-12 04:00 9999-99-99 99:99    132.890 -9999 -99999.   ...  0   6210-66
1992-05-19 04:00 9999-99-99 99:99    153.270 -9999 -99999.   ...  0   6531-66
1992-05-19 04:00 9999-99-99 99:99    153.550 -9999 -99999.   ...  0   6532-66
1992-05-26 04:10 9999-99-99 99:99    106.430 -9999 -99999.   ...  0   6395-66
1992-05-26 04:10 9999-99-99 99:99    104.700 -9999 -99999.   ...  0   6396-66
1992-06-02 04:15 9999-99-99 99:99    119.710 -9999 -99999.   ...  0   6137-66
1992-06-02 04:15 9999-99-99 99:99    121.210 -9999 -99999.   ...  0   6138-66
1992-06-09 04:00 9999-99-99 99:99     93.810 -9999 -99999.   ...  0   6591-66
1992-06-09 04:00 9999-99-99 99:99     94.870 -9999 -99999.   ...  0   6592-66
1992-06-16 04:10 9999-99-99 99:99     96.210 -9999 -99999.   ...  0   6355-66
1992-06-16 04:10 9999-99-99 99:99     95.890 -9999 -99999.   ...  0   6356-66
1992-06-23 04:00 9999-99-99 99:99    112.170 -9999 -99999.   ...  0   6565-66
1992-06-23 04:00 9999-99-99 99:99    113.600 -9999 -99999.   ...  0   6566-66
1992-06-30 03:45 9999-99-99 99:99     96.250 -9999 -99999.   ...  0   6519-66
1992-06-30 03:45 9999-99-99 99:99     95.770 -9999 -99999.   ...  0   6520-66
1992-07-07 04:10 9999-99-99 99:99     79.010 -9999 -99999.   ...  0   6473-66
1992-07-07 04:10 9999-99-99 99:99     80.990 -9999 -99999.   ...  0   6474-66
1992-07-14 04:25 9999-99-99 99:99     87.580 -9999 -99999.   ...  0   6609-66
1992-07-21 04:12 9999-99-99 99:99     79.270 -9999 -99999.   ...  0   6683-66
1992-07-21 04:12 9999-99-99 99:99     81.110 -9999 -99999.   ...  0   6684-66
1992-07-28 04:20 9999-99-99 99:99     80.150 -9999 -99999.   ...  0   6675-66
1992-07-28 04:20 9999-99-99 99:99     80.650 -9999 -99999.   ...  0   6676-66
1992-08-04 04:00 9999-99-99 99:99     71.930 -9999 -99999.   ...  0   6115-66
1992-08-04 04:00 9999-99-99 99:99     73.250 -9999 -99999.   ...  0   6116-66
1992-08-11 04:00 9999-99-99 99:99     75.420 -9999 -99999.   ...  0   6471-66
1992-08-11 04:00 9999-99-99 99:99     75.180 -9999 -99999.   ...  0   6472-66
1992-08-18 04:15 9999-99-99 99:99     72.430 -9999 -99999.   ...  0   6317-66
1992-08-18 04:15 9999-99-99 99:99     72.320 -9999 -99999.   ...  0   6318-66
1992-08-25 04:45 9999-99-99 99:99     86.880 -9999 -99999.   ...  0   6435-66
1992-08-25 04:45 9999-99-99 99:99     85.400 -9999 -99999.   ...  0   6436-66
1992-09-01 04:00 9999-99-99 99:99     85.170 -9999 -99999.   ...  0   6479-66
1992-09-01 04:00 9999-99-99 99:99     85.970 -9999 -99999.   ...  0   6480-66
1992-09-08 04:10 9999-99-99 99:99     87.530 -9999 -99999.   ...  0   6315-66
1992-09-08 04:10 9999-99-99 99:99     86.450 -9999 -99999.   ...  0   6316-66
1992-09-15 04:15 9999-99-99 99:99     76.530 -9999 -99999.   ...  0   6765-66
1992-09-15 04:15 9999-99-99 99:99     77.990 -9999 -99999.   ...  0   6766-66
1992-09-22 04:10 9999-99-99 99:99     97.430 -9999 -99999.   ...  0   6703-66
1992-09-22 04:10 9999-99-99 99:99     97.210 -9999 -99999.   ...  0   6704-66
1992-09-29 04:15 9999-99-99 99:99     71.560 -9999 -99999.   ...  0   6637-66
1992-09-29 04:15 9999-99-99 99:99     71.350 -9999 -99999.   ...  0   6638-66
1992-10-06 04:50 9999-99-99 99:99    118.060 -9999 -99999.   ...  0   6247-66
1992-10-06 04:50 9999-99-99 99:99    116.600 -9999 -99999.   ...  0   6248-66
1992-10-13 03:50 9999-99-99 99:99    110.480 -9999 -99999.   ...  0   6173-66
1992-10-13 03:50 9999-99-99 99:99    110.270 -9999 -99999.   ...  0   6174-66
1992-10-20 04:00 9999-99-99 99:99     90.690 -9999 -99999.   ...  0   6567-66
1992-10-20 04:00 9999-99-99 99:99     91.160 -9999 -99999.   ...  0   6568-66
1992-10-27 04:00 9999-99-99 99:99     90.710 -9999 -99999.   ..>  0   6807-66
1992-10-27 04:00 9999-99-99 99:99     90.800 -9999 -99999.   ...  0   6808-66
1992-11-03 03:35 9999-99-99 99:99    141.290 -9999 -99999.   P..  0   6809-66
1992-11-03 03:35 9999-99-99 99:99    173.650 -9999 -99999.   P..  0   6810-66
1992-11-10 02:00 9999-99-99 99:99 -99999.999 -9999 -99999.   *..  0   6773-66
1992-11-10 02:00 9999-99-99 99:99     85.510 -9999 -99999.   ..>  0   6774-66
1992-11-17 05:00 9999-99-99 99:99    123.840 -9999 -99999.   ...  0   6571-66
1992-11-17 05:00 9999-99-99 99:99    123.960 -9999 -99999.   ...  0   6572-66
1992-11-24 03:30 9999-99-99 99:99    120.370 -9999 -99999.   P..  0   6581-66
1992-11-24 03:30 9999-99-99 99:99    123.390 -9999 -99999.   P..  0   6582-66
1992-12-01 04:00 9999-99-99 99:99    120.560 -9999 -99999.   ...  0   6317-66
1992-12-01 04:00 9999-99-99 99:99    122.160 -9999 -99999.   ...  0   6318-66
1992-12-08 03:30 9999-99-99 99:99    111.660 -9999 -99999.   ...  0   6883-66
1992-12-08 03:30 9999-99-99 99:99    112.560 -9999 -99999.   ...  0   6884-66
1992-12-15 03:45 9999-99-99 99:99    156.480 -9999 -99999.   ...  0   6115-66
1992-12-15 03:45 9999-99-99 99:99    153.690 -9999 -99999.   ...  0   6116-66
1992-12-22 03:30 9999-99-99 99:99    133.580 -9999 -99999.   ...  0   6397-66
1992-12-22 03:30 9999-99-99 99:99    133.590 -9999 -99999.   ...  0   6398-66
1992-12-29 03:40 9999-99-99 99:99    138.400 -9999 -99999.   ...  0   6011-66
1992-12-29 03:40 9999-99-99 99:99    137.750 -9999 -99999.   ...  0   6012-66
1993-01-05 03:35 9999-99-99 99:99    155.040 -9999 -99999.   ...  0   6325-66
1993-01-12 03:40 9999-99-99 99:99    165.250 -9999 -99999.   ...  0   6709-66
1993-01-12 03:40 9999-99-99 99:99    165.250 -9999 -99999.   ...  0   6710-66
1993-01-19 13:45 9999-99-99 99:99    147.950 -9999 -99999.   ...  0   6379-66
1993-01-19 13:45 9999-99-99 99:99    145.680 -9999 -99999.   ...  0   6380-66
1993-01-27 14:10 9999-99-99 99:99    160.960 -9999 -99999.   ...  0   6019-66
1993-02-02 03:55 9999-99-99 99:99    148.300 -9999 -99999.   ...  0   6371-66
1993-02-02 03:55 9999-99-99 99:99    148.500 -9999 -99999.   ...  0   6372-66
1993-02-09 03:40 9999-99-99 99:99    133.020 -9999 -99999.   ...  0   6475-66
1993-02-09 03:40 9999-99-99 99:99    133.580 -9999 -99999.   ...  0   6476-66
1993-02-16 03:45 9999-99-99 99:99    156.060 -9999 -99999.   ...  0   6827-66
1993-02-16 03:45 9999-99-99 99:99    155.280 -9999 -99999.   ...  0   6828-66
1993-02-23 03:40 9999-99-99 99:99    155.030 -9999 -99999.   ...  0   6327-66
1993-02-23 03:40 9999-99-99 99:99    154.750 -9999 -99999.   ...  0   6328-66
1993-03-02 03:45 9999-99-99 99:99    143.120 -9999 -99999.   ...  0   6115-66
1993-03-02 03:45 9999-99-99 99:99    142.050 -9999 -99999.   ...  0   6116-66
1993-03-09 03:35 9999-99-99 99:99    164.640 -9999 -99999.   ...  0   6319-66
1993-03-09 03:35 9999-99-99 99:99    165.210 -9999 -99999.   ...  0   6320-66
1993-03-16 03:40 9999-99-99 99:99    158.920 -9999 -99999.   ...  0   6785-66
1993-03-16 03:40 9999-99-99 99:99    158.760 -9999 -99999.   ...  0   6786-66
1993-03-23 03:35 9999-99-99 99:99    109.090 -9999 -99999.   ...  0   6811-66
1993-03-23 03:35 9999-99-99 99:99    108.870 -9999 -99999.   ...  0   6812-66
1993-03-30 03:40 9999-99-99 99:99    110.190 -9999 -99999.   ...  0   6841-66
1993-03-30 03:40 9999-99-99 99:99    107.660 -9999 -99999.   ...  0   6842-66
1993-04-04 03:40 9999-99-99 99:99    183.100 -9999 -99999.   .X.  0   6307-66
1993-04-04 03:40 9999-99-99 99:99    183.390 -9999 -99999.   .X.  0   6308-66
1993-04-15 02:20 9999-99-99 99:99    114.800 -9999 -99999.   ...  0   6429-66
1993-04-15 02:20 9999-99-99 99:99    114.710 -9999 -99999.   ...  0   6430-66
1993-04-20 03:23 9999-99-99 99:99    156.130 -9999 -99999.   ...  0   6333-66
1993-04-20 03:23 9999-99-99 99:99    156.460 -9999 -99999.   ...  0   6334-66
1993-04-27 03:45 9999-99-99 99:99    150.380 -9999 -99999.   ...  0   6855-66
1993-04-27 03:45 9999-99-99 99:99    149.620 -9999 -99999.   ...  0   6856-66
1993-05-04 03:35 9999-99-99 99:99    156.620 -9999 -99999.   P..  0   6261-66
1993-05-04 03:35 9999-99-99 99:99    136.520 -9999 -99999.   P..  0   6262-66
1993-05-11 04:35 9999-99-99 99:99    157.650 -9999 -99999.   ...  0   6741-66
1993-05-11 04:35 9999-99-99 99:99    158.730 -9999 -99999.   ...  0   6742-66
1993-05-18 03:35 9999-99-99 99:99    137.830 -9999 -99999.   ...  0   6493-66
1993-05-18 03:35 9999-99-99 99:99    138.700 -9999 -99999.   ...  0   6494-66
1993-05-25 22:00 9999-99-99 99:99    138.520 -9999 -99999.   ...  0   6925-66
1993-05-25 22:00 9999-99-99 99:99    137.770 -9999 -99999.   ...  0   6926-66
1993-06-01 22:10 9999-99-99 99:99    100.320 -9999 -99999.   ...  0   6701-66
1993-06-01 22:10 9999-99-99 99:99     99.840 -9999 -99999.   ...  0   6702-66
1993-06-08 04:40 9999-99-99 99:99     91.460 -9999 -99999.   ...  0   6499-66
1993-06-08 04:40 9999-99-99 99:99     89.330 -9999 -99999.   ...  0   6500-66
1993-06-15 22:05 9999-99-99 99:99    120.130 -9999 -99999.   ...  0   6799-66
1993-06-15 22:05 9999-99-99 99:99    120.440 -9999 -99999.   ...  0   6800-66
1993-06-22 04:25 9999-99-99 99:99    106.290 -9999 -99999.   ...  0   6121-66
1993-06-22 04:25 9999-99-99 99:99    106.290 -9999 -99999.   ...  0   6122-66
1993-06-29 22:00 9999-99-99 99:99     86.380 -9999 -99999.   ...  0   6831-66
1993-06-29 22:00 9999-99-99 99:99     87.180 -9999 -99999.   ...  0   6832-66
1993-07-06 04:00 9999-99-99 99:99     82.630 -9999 -99999.   ...  0   6265-66
1993-07-06 04:00 9999-99-99 99:99     81.920 -9999 -99999.   ...  0   6266-66
1993-07-13 02:10 9999-99-99 99:99     78.380 -9999 -99999.   ...  0   6343-66
1993-07-13 02:10 9999-99-99 99:99     77.290 -9999 -99999.   ...  0   6344-66
