2005-03-25 14:51 9999-99-99 99:99 -62.250  -64.980    10.0     46.570 -9999 -99999.   .X.  0   2665-99
2005-03-25 14:51 9999-99-99 99:99 -62.250  -64.980    10.0     44.100 -9999 -99999.   ...  0   2666-99
2005-03-25 14:51 9999-99-99 99:99 -62.250  -64.980    10.0     44.520 -9999 -99999.   ...  0   3761-99
2005-03-25 20:40 9999-99-99 99:99 -61.250  -64.980    10.0     44.400 -9999 -99999.   ...  0   1243-99
2005-03-25 20:40 9999-99-99 99:99 -61.250  -64.980    10.0     44.540 -9999 -99999.   ...  0   1244-99
2005-03-25 20:40 9999-99-99 99:99 -61.250  -64.980    10.0     44.360 -9999 -99999.   ...  0   2914-99
2005-03-26 02:36 9999-99-99 99:99 -60.250  -64.980    10.0     44.520 -9999 -99999.   ...  0   2913-99
2005-03-26 02:36 9999-99-99 99:99 -60.250  -64.980    10.0     43.590 -9999 -99999.   ...  0    381-99
2005-03-26 02:36 9999-99-99 99:99 -60.250  -64.980    10.0     43.840 -9999 -99999.   ...  0    382-99
2005-03-26 08:40 9999-99-99 99:99 -59.250  -64.960    10.0     44.430 -9999 -99999.   ...  0   2681-99
2005-03-26 08:40 9999-99-99 99:99 -59.250  -64.960    10.0     44.050 -9999 -99999.   ...  0   2682-99
2005-03-26 08:40 9999-99-99 99:99 -59.250  -64.960    10.0     45.130 -9999 -99999.   ...  0   3540-99
2005-03-26 14:25 9999-99-99 99:99 -58.250  -64.960    10.0     45.480 -9999 -99999.   ...  0   3175-99
2005-03-26 14:25 9999-99-99 99:99 -58.250  -64.960    10.0     45.750 -9999 -99999.   ...  0   3176-99
2005-03-26 14:25 9999-99-99 99:99 -58.250  -64.960    10.0     46.180 -9999 -99999.   .X.  0   3539-99
2005-03-26 20:10 9999-99-99 99:99 -57.250  -64.960    10.0     43.690 -9999 -99999.   ...  0   2401-99
2005-03-26 20:10 9999-99-99 99:99 -57.250  -64.960    10.0     43.810 -9999 -99999.   ...  0   2402-99
2005-03-26 20:10 9999-99-99 99:99 -57.250  -64.960    10.0     44.010 -9999 -99999.   ...  0   2893-99
2005-03-27 02:10 9999-99-99 99:99 -56.250  -64.960    10.0     44.170 -9999 -99999.   ...  0   2894-99
2005-03-27 02:10 9999-99-99 99:99 -56.250  -64.960    10.0     43.550 -9999 -99999.   ...  0    429-99
2005-03-27 02:10 9999-99-99 99:99 -56.250  -64.960    10.0     43.710 -9999 -99999.   ...  0    430-99
2005-03-27 07:41 9999-99-99 99:99 -55.250  -64.950    10.0     44.010 -9999 -99999.   ...  0   2777-99
2005-03-27 07:41 9999-99-99 99:99 -55.250  -64.950    10.0     43.740 -9999 -99999.   ...  0   2778-99
2006-03-22 20:40 9999-99-99 99:99 -55.000  -64.910    10.0     43.580 -9999 -99999.   ...  0   4113-99
2006-03-22 20:40 9999-99-99 99:99 -55.000  -64.910    10.0     43.050 -9999 -99999.   ...  0   4114-99
2006-03-23 13:00 9999-99-99 99:99 -56.060  -64.600    10.0     43.630 -9999 -99999.   ...  0   3943-99
2006-03-23 13:00 9999-99-99 99:99 -56.060  -64.600    10.0     43.460 -9999 -99999.   ...  0   3944-99
2006-03-24 08:10 9999-99-99 99:99 -57.110  -64.250    10.0     42.740 -9999 -99999.   ...  0   3355-99
2006-03-24 08:10 9999-99-99 99:99 -57.110  -64.250    10.0     42.980 -9999 -99999.   ...  0   3356-99
2006-03-25 12:10 9999-99-99 99:99 -57.830  -64.010    10.0     42.410 -9999 -99999.   ...  0   2961-99
2006-03-25 12:10 9999-99-99 99:99 -57.830  -64.010    10.0     43.140 -9999 -99999.   ...  0   2962-99
2006-03-25 17:54 9999-99-99 99:99 -58.200  -63.880    10.0     42.610 -9999 -99999.   ...  0   1247-99
2006-03-25 17:54 9999-99-99 99:99 -58.200  -63.880    10.0     42.760 -9999 -99999.   ...  0   1248-99
2006-03-26 08:10 9999-99-99 99:99 -59.260  -63.530    10.0     42.400 -9999 -99999.   ...  0   2119-99
2006-03-26 08:10 9999-99-99 99:99 -59.260  -63.530    10.0     42.760 -9999 -99999.   ...  0   2120-99
2006-03-26 20:05 9999-99-99 99:99 -60.310  -63.160    10.0     45.300 -9999 -99999.   ...  0   3416-99
2006-03-26 20:05 9999-99-99 99:99 -60.310  -63.160    10.0     45.310 -9999 -99999.   ...  0   3953-99
2006-03-27 08:21 9999-99-99 99:99 -61.380  -62.810    10.0     44.840 -9999 -99999.   ...  0   3406-99
2006-03-27 08:21 9999-99-99 99:99 -61.380  -62.810    10.0     45.090 -9999 -99999.   ...  0   3954-99
2006-03-28 02:40 9999-99-99 99:99 -62.450  -62.450    10.0     43.620 -9999 -99999.   ...  0    425-99
2006-03-28 02:40 9999-99-99 99:99 -62.450  -62.450    10.0     43.860 -9999 -99999.   ...  0    426-99
2006-04-01 19:43 9999-99-99 99:99 -60.230  -63.260    10.0     42.880 -9999 -99999.   ...  0   1797-99
2006-04-01 19:43 9999-99-99 99:99 -60.230  -63.260    10.0     42.790 -9999 -99999.   ...  0   1798-99
2006-04-10 00:09 9999-99-99 99:99 -55.000  -64.950    10.0     44.380 -9999 -99999.   ...  0   1879-99
2006-04-10 00:09 9999-99-99 99:99 -55.000  -64.950    10.0     44.180 -9999 -99999.   ...  0   1880-99
2006-04-10 14:12 9999-99-99 99:99 -57.210  -64.530    10.0     44.180 -9999 -99999.   ...  0   3247-99
2006-04-10 14:12 9999-99-99 99:99 -57.210  -64.530    10.0     43.650 -9999 -99999.   ...  0   3272-99
2006-04-11 01:51 9999-99-99 99:99 -59.130  -64.010    10.0     43.720 -9999 -99999.   ...  0   3248-99
2006-04-11 01:51 9999-99-99 99:99 -59.130  -64.010    10.0     43.420 -9999 -99999.   ...  0    573-99
2006-04-11 13:19 9999-99-99 99:99 -61.060  -63.460    10.0     43.700 -9999 -99999.   ...  0   1383-99
2006-04-11 13:19 9999-99-99 99:99 -61.060  -63.460    10.0     43.730 -9999 -99999.   ...  0   1384-99
2006-04-11 19:27 9999-99-99 99:99 -62.060  -63.180    10.0     43.810 -9999 -99999.   ...  0   2541-99
2006-04-11 19:27 9999-99-99 99:99 -62.060  -63.180    10.0     43.970 -9999 -99999.   ...  0   2542-99
2006-05-18 14:32 9999-99-99 99:99 -55.000  -65.000    10.0     50.040 -9999 -99999.   ...  0   2511-99
2006-05-18 14:32 9999-99-99 99:99 -55.000  -65.000    10.0     49.870 -9999 -99999.   ...  0   3326-99
2006-05-19 07:02 9999-99-99 99:99 -57.000  -64.710    10.0     47.460 -9999 -99999.   ...  0   2335-99
2006-05-19 07:02 9999-99-99 99:99 -57.000  -64.710    10.0     48.310 -9999 -99999.   ...  0    486-99
2006-05-19 20:20 9999-99-99 99:99 -59.100  -63.680    10.0     47.690 -9999 -99999.   ...  0   1086-99
2006-05-19 20:20 9999-99-99 99:99 -59.100  -63.680    10.0     47.350 -9999 -99999.   ...  0   2336-99
2006-05-20 12:45 9999-99-99 99:99 -62.160  -62.600    10.0     46.850 -9999 -99999.   ...  0    141-99
2006-05-20 12:45 9999-99-99 99:99 -62.160  -62.600    10.0     47.580 -9999 -99999.   ...  0    142-99
2006-06-11 11:40 9999-99-99 99:99 -59.000  -63.680    10.0     49.470 -9999 -99999.   ...  0   3323-99
2006-06-11 11:40 9999-99-99 99:99 -59.000  -63.680    10.0     49.390 -9999 -99999.   ...  0   3324-99
2006-06-30 09:06 9999-99-99 99:99 -59.000  -63.680    10.0     52.980 -9999 -99999.   ...  0   4543-99
2006-06-30 09:06 9999-99-99 99:99 -59.000  -63.680    10.0     53.330 -9999 -99999.   ...  0   4544-99
2006-08-08 12:36 9999-99-99 99:99 -59.060  -60.600    10.0     55.800 -9999 -99999.   ...  0   4355-99
2006-08-08 12:36 9999-99-99 99:99 -59.060  -60.600    10.0     55.800 -9999 -99999.   ...  0   4356-99
2006-08-14 15:00 9999-99-99 99:99 -59.000  -62.000    10.0     58.330 -9999 -99999.   ...  0    947-99
2006-08-14 15:00 9999-99-99 99:99 -59.000  -62.000    10.0     57.980 -9999 -99999.   ...  0    948-99
2006-09-18 04:00 9999-99-99 99:99 -59.060  -63.660    10.0     60.050 -9999 -99999.   ...  0   1128-99
2006-09-18 04:00 9999-99-99 99:99 -59.060  -63.660    10.0     59.810 -9999 -99999.   ...  0   3032-99
2006-09-27 10:26 9999-99-99 99:99 -59.000  -63.680    10.0     62.640 -9999 -99999.   ...  0   1127-99
2006-09-27 10:26 9999-99-99 99:99 -59.000  -63.680    10.0     62.800 -9999 -99999.   ...  0   3031-99
2006-10-07 12:34 9999-99-99 99:99 -59.000  -60.710    10.0     62.080 -9999 -99999.   ...  0   1702-99
2006-10-07 12:34 9999-99-99 99:99 -59.000  -60.710    10.0     60.360 -9999 -99999.   ...  0   4215-99
2006-10-14 21:39 9999-99-99 99:99 -59.000  -60.730    10.0     63.760 -9999 -99999.   ...  0   1701-99
2006-10-14 21:39 9999-99-99 99:99 -59.000  -60.730    10.0     63.990 -9999 -99999.   ...  0   4216-99
2006-10-30 21:36 9999-99-99 99:99 -59.000  -62.850    10.0     60.670 -9999 -99999.   ...  0   2727-99
2006-10-30 21:36 9999-99-99 99:99 -59.000  -62.850    10.0     60.890 -9999 -99999.   ...  0     34-99
2006-11-05 19:06 9999-99-99 99:99 -59.000  -60.820    10.0     59.840 -9999 -99999.   ...  0   2728-99
2006-11-05 19:06 9999-99-99 99:99 -59.000  -60.810    10.0     59.480 -9999 -99999.   ...  0     33-99
2006-11-14 17:30 9999-99-99 99:99 -58.080  -62.850    10.0     57.580 -9999 -99999.   ...  0   2726-99
2006-11-14 17:30 9999-99-99 99:99 -58.080  -62.850    10.0     58.210 -9999 -99999.   ...  0   3295-99
2006-11-28 18:48 9999-99-99 99:99 -59.010  -62.000    10.0     53.760 -9999 -99999.   ...  0   2725-99
2006-11-28 18:48 9999-99-99 99:99 -59.010  -62.000    10.0     53.990 -9999 -99999.   ...  0   3296-99
2006-12-07 16:28 9999-99-99 99:99 -59.030  -63.660    10.0     53.670 -9999 -99999.   ...  0   1051-99
2006-12-07 16:28 9999-99-99 99:99 -59.030  -63.660    10.0     50.760 -9999 -99999.   ...  0   1975-99
2006-12-12 05:40 9999-99-99 99:99 -59.000  -64.100    10.0     49.160 -9999 -99999.   ...  0   1052-99
2006-12-12 05:40 9999-99-99 99:99 -59.000  -64.100    10.0     49.140 -9999 -99999.   ...  0   1976-99
2006-12-20 17:02 9999-99-99 99:99 -59.080  -63.660    10.0     49.240 -9999 -99999.   ...  0   4230-99
2006-12-20 17:02 9999-99-99 99:99 -59.080  -63.660    10.0     49.290 -9999 -99999.   ...  0    515-99
2006-12-24 00:39 9999-99-99 99:99 -59.000  -63.700    10.0     46.790 -9999 -99999.   ...  0   4229-99
2007-01-03 20:12 9999-99-99 99:99 -59.000  -63.680    10.0     46.770 -9999 -99999.   ...  0   3325-99
2007-01-03 20:12 9999-99-99 99:99 -59.000  -63.680    10.0     46.570 -9999 -99999.   ...  0   4371-99
2007-02-09 01:26 9999-99-99 99:99 -59.000  -63.700    10.0     44.270 -9999 -99999.   ...  0   3326-99
2007-02-09 01:26 9999-99-99 99:99 -59.000  -63.700    10.0     44.670 -9999 -99999.   ...  0   4372-99
2007-02-19 07:01 9999-99-99 99:99 -59.030  -60.710    10.0     44.820 -9999 -99999.   ...  0   2174-99
2007-02-19 07:01 9999-99-99 99:99 -59.030  -60.710    10.0     44.730 -9999 -99999.   ...  0   4045-99
2007-02-27 17:42 9999-99-99 99:99 -59.000  -62.000    10.0     43.890 -9999 -99999.   ...  0   2173-99
2007-02-27 17:42 9999-99-99 99:99 -59.000  -62.000    10.0     44.180 -9999 -99999.   ...  0   4046-99
2007-03-10 12:34 9999-99-99 99:99 -59.000  -62.000    10.0     46.140 -9999 -99999.   ...  0   3257-99
2007-03-10 12:34 9999-99-99 99:99 -59.000  -62.000    10.0     45.730 -9999 -99999.   ...  0   4566-99
2007-03-17 05:06 9999-99-99 99:99 -59.000  -63.680    10.0     45.940 -9999 -99999.   ...  0   3258-99
2007-03-17 05:06 9999-99-99 99:99 -59.000  -63.680    10.0     45.840 -9999 -99999.   ...  0   4565-99
2007-03-25 12:34 9999-99-99 99:99 -59.000  -63.650    10.0     42.630 -9999 -99999.   ...  0   2259-99
2007-03-25 12:34 9999-99-99 99:99 -59.000  -63.650    10.0     43.140 -9999 -99999.   ...  0    543-99
2007-04-04 07:29 9999-99-99 99:99 -59.000  -63.680    10.0     44.490 -9999 -99999.   ...  0   2260-99
2007-04-04 07:29 9999-99-99 99:99 -59.000  -63.680    10.0     45.200 -9999 -99999.   ...  0    544-99
2007-04-13 21:25 9999-99-99 99:99 -59.030  -63.680    10.0     45.810 -9999 -99999.   ...  0   1742-99
2007-04-13 21:25 9999-99-99 99:99 -59.030  -63.680    10.0     45.480 -9999 -99999.   ...  0   2228-99
2007-05-06 23:52 9999-99-99 99:99 -58.960  -64.980    10.0     48.550 -9999 -99999.   ...  0   1741-99
2007-05-06 23:52 9999-99-99 99:99 -58.960  -64.980    10.0     48.600 -9999 -99999.   ...  0   2227-99
2007-05-14 16:26 9999-99-99 99:99 -59.000  -63.830    10.0     47.150 -9999 -99999.   A..  0    287-99
2007-05-14 16:26 9999-99-99 99:99 -59.000  -63.830    10.0     46.220 -9999 -99999.   A..  0   3933-99
2007-06-01 12:34 9999-99-99 99:99 -63.710  -58.980    10.0     48.240 -9999 -99999.   A..  0    288-99
2007-06-01 12:34 9999-99-99 99:99 -63.710  -58.980    10.0     46.070 -9999 -99999.   A..  0   3934-99
2007-06-09 17:03 9999-99-99 99:99 -59.000  -63.660    10.0     49.300 -9999 -99999.   A..  0   2402-99
2007-06-09 17:03 9999-99-99 99:99 -59.000  -63.660    10.0     50.830 -9999 -99999.   A..  0   2443-99
2007-06-21 19:03 9999-99-99 99:99 -59.000  -63.660    10.0     54.250 -9999 -99999.   A..  0   2401-99
2007-06-21 19:03 9999-99-99 99:99 -59.000  -63.660    10.0     54.180 -9999 -99999.   A..  0   2444-99
2007-09-16 21:36 9999-99-99 99:99 -59.100  -63.650    10.0     69.140 -9999 -99999.   ...  0   2209-99
2007-09-16 21:36 9999-99-99 99:99 -59.100  -63.650    10.0     68.180 -9999 -99999.   ...  0   3950-99
2007-09-27 02:07 9999-99-99 99:99 -59.000  -63.680    10.0     65.800 -9999 -99999.   ...  0   2088-99
2007-09-27 02:07 9999-99-99 99:99 -59.000  -63.680    10.0     65.380 -9999 -99999.   ...  0   3949-99
2007-10-11 02:03 9999-99-99 99:99 -59.000  -60.750    10.0     72.750 -9999 -99999.   .X.  0     26-99
2007-10-11 02:03 9999-99-99 99:99 -59.000  -60.750    10.0     72.930 -9999 -99999.   .X.  0   4395-99
2007-10-17 10:39 9999-99-99 99:99 -59.030  -63.680    10.0     66.530 -9999 -99999.   ...  0     25-99
2007-10-17 10:39 9999-99-99 99:99 -59.030  -63.680    10.0     65.930 -9999 -99999.   ...  0   4396-99
2007-11-06 15:28 9999-99-99 99:99 -59.000  -62.850    10.0     64.960 -9999 -99999.   ...  0   3327-99
2007-11-06 15:28 9999-99-99 99:99 -59.000  -62.850    10.0     64.820 -9999 -99999.   ...  0   4480-99
2007-11-14 15:55 9999-99-99 99:99 -59.000  -62.010    10.0     63.970 -9999 -99999.   ...  0   3328-99
2007-11-14 15:55 9999-99-99 99:99 -59.000  -62.010    10.0     63.950 -9999 -99999.   ...  0   4479-99
2007-11-24 20:56 9999-99-99 99:99 -59.020  -60.180    10.0 -99999.999 -9999 -99999.   *..  0   4485-99
2007-11-24 20:56 9999-99-99 99:99 -59.020  -60.180    10.0     60.760 -9999 -99999.   ...  0   4620-99
2007-12-19 17:29 9999-99-99 99:99 -59.000  -60.720    10.0     53.760 -9999 -99999.   ...  0   1879-99
2007-12-19 17:29 9999-99-99 99:99 -59.000  -60.720    10.0     53.620 -9999 -99999.   ...  0   4817-99
2008-01-01 21:34 9999-99-99 99:99 -59.000  -63.530    10.0     49.100 -9999 -99999.   ...  0   4712-99
2008-01-01 21:34 9999-99-99 99:99 -59.000  -63.530    10.0     49.100 -9999 -99999.   ...  0   4762-99
2008-02-07 02:44 9999-99-99 99:99 -59.020  -63.650    10.0     44.250 -9999 -99999.   ...  0   1778-99
2008-02-07 02:44 9999-99-99 99:99 -59.020  -63.650    10.0     43.900 -9999 -99999.   ...  0   4806-99
2008-02-17 10:20 9999-99-99 99:99 -59.000  -62.000    10.0     42.850 -9999 -99999.   ...  0    113-99
2008-02-17 10:20 9999-99-99 99:99 -59.000  -62.000    10.0     43.330 -9999 -99999.   ...  0   2790-99
2008-03-15 06:26 9999-99-99 99:99 -59.050  -63.700    10.0     42.530 -9999 -99999.   ...  0    114-99
2008-03-15 06:26 9999-99-99 99:99 -59.050  -63.700    10.0     42.270 -9999 -99999.   ...  0   2789-99
2008-03-24 17:41 9999-99-99 99:99 -58.967  -63.733    10.0     42.110 -9999 -99999.   ...  0   2084-99
2008-03-24 17:41 9999-99-99 99:99 -58.967  -63.733    10.0     42.280 -9999 -99999.   ...  0   3448-99
2008-04-02 05:32 9999-99-99 99:99 -59.017  -63.733    10.0     42.090 -9999 -99999.   ...  0   2083-99
2008-04-02 05:32 9999-99-99 99:99 -59.017  -63.733    10.0     42.110 -9999 -99999.   ...  0   3447-99
2008-04-10 20:38 9999-99-99 99:99 -59.067  -63.667    10.0     42.280 -9999 -99999.   ...  0   2823-99
2008-04-10 20:38 9999-99-99 99:99 -59.067  -63.667    10.0     43.490 -9999 -99999.   ...  0   4026-99
2008-04-21 09:13 9999-99-99 99:99 -58.983  -63.733    10.0     44.360 -9999 -99999.   ...  0   2824-99
2008-04-21 09:13 9999-99-99 99:99 -58.983  -63.733    10.0     45.100 -9999 -99999.   ...  0   4025-99
